Player,Pos,Age,Tm,year,G,GS,MP,X3PA,X3P.,X2PA,X2P.,FTA,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PER,USG.,WS.48,VORP
Arron Afflalo,SG,24,DEN,2010,82,75,2221,249,43.4,336,48.8,98,73.5,59,193,138,46,30,74,225,10.9,14,0.092,1.3
LaMarcus Aldridge,PF,24,POR,2010,78,78,2922,16,31.3,1153,49.8,304,75.7,192,435,160,67,48,104,231,18.2,22.9,0.145,2.6
Joe Alexander,SF,23,CHI,2010,8,0,29,1,0,5,20,3,66.7,2,3,2,1,1,0,9,2.8,11.3,0.03,0
Malik Allen,PF,31,DEN,2010,51,3,456,6,16.7,110,40.9,13,92.30000000000001,36,46,16,11,5,22,68,5.9,14,0.009,-0.3
Ray Allen*,SG,34,BOS,2010,80,80,2819,399,36.3,574,55.60000000000001,253,91.3,45,208,210,64,25,129,182,15.2,20.2,0.135,2.6
Tony Allen,SG,28,BOS,2010,54,8,889,5,0,248,52,119,60.5,52,93,72,59,19,66,109,14.2,19.6,0.1,0.6
Rafer Alston,PG,33,NJN,2010,27,13,766,87,32.2,190,35.3,54,81.5,9,66,104,27,5,61,50,8.7,21.7,-0.051,-0.6
Rafer Alston,PG,33,MIA,2010,25,25,655,81,37,88,34.1,27,55.60000000000001,4,50,72,23,5,34,53,7.7,15.4,0.031,0
Lou Amundson,PF,27,PHO,2010,79,0,1168,1,0,275,55.300000000000004,123,54.50000000000001,128,218,31,24,73,57,169,14.4,14.6,0.118,0.7
Chris Andersen,PF,31,DEN,2010,76,0,1695,3,0,248,57.3,236,69.5,147,336,33,42,143,59,171,15.8,10.8,0.166,1.8
David Andersen,C,29,HOU,2010,63,0,891,78,34.599999999999994,262,45.800000000000004,67,68.7,54,154,44,15,12,37,119,12.1,20.2,0.07,-0.4
Ryan Anderson,PF,21,ORL,2010,63,6,911,211,37,177,51.4,82,86.6,70,132,37,25,14,56,81,18.1,24.4,0.161,0.8
Carmelo Anthony,SF,25,DEN,2010,69,69,2634,187,31.6,1315,47.8,612,83,152,302,222,88,30,209,225,22.2,33.4,0.145,2.3
Gilbert Arenas,PG,28,WAS,2010,32,32,1169,181,34.8,435,43.7,207,73.9,17,116,230,41,9,117,95,18.7,31.9,0.072,1.3
Trevor Ariza,SF,24,HOU,2010,72,71,2629,407,33.4,592,43.6,228,64.9,78,325,276,126,40,161,162,13.3,21.2,0.058,2.2
Hilton Armstrong,C,25,HOU,2010,9,0,40,1,0,16,31.3,2,0,5,1,3,5,0,5,10,1.1,25.3,-0.185,0
Carlos Arroyo,PG,30,MIA,2010,72,35,1585,25,28.000000000000004,350,48.9,90,84.39999999999999,26,104,225,36,6,54,102,12.3,13.9,0.113,0
Darrell Arthur,PF,21,MEM,2010,32,1,457,1,0,145,43.4,30,56.699999999999996,37,73,15,14,14,22,60,10.5,17.4,0.031,-0.3
Chucky Atkins,PG,35,DET,2010,40,11,644,73,30.099999999999998,84,41.699999999999996,27,92.60000000000001,5,24,91,17,0,32,53,8.3,14.4,0.017,-0.6
D.J. Augustin,PG,22,CHA,2010,80,2,1472,178,39.300000000000004,257,38.1,131,77.9,11,86,193,45,5,74,127,11.2,17.9,0.092,-0.2
Kelenna Azubuike,SF,26,GSW,2010,9,7,231,27,37,61,62.3,28,67.9,12,29,10,5,9,7,16,19.8,19.9,0.148,0.1
Renaldo Balkman,SF,25,DEN,2010,13,1,91,7,0,11,54.50000000000001,6,33.300000000000004,4,19,7,8,2,6,16,6.6,13,-0.001,0
Marcus Banks,PG,28,TOR,2010,22,0,244,24,29.2,49,65.3,29,82.8,3,20,26,12,2,20,30,15.3,19.8,0.095,0.1
Leandro Barbosa,PG,27,PHO,2010,44,5,786,136,32.4,229,48.5,73,87.7,11,58,64,23,12,46,71,14,24.9,0.065,0
J.J. Barea,PG,25,DAL,2010,78,18,1546,157,35.699999999999996,370,47.599999999999994,90,84.39999999999999,17,129,258,35,6,102,119,12.8,19.9,0.069,-0.1
Andrea Bargnani,PF,24,TOR,2010,80,80,2799,325,37.2,818,50.9,234,77.4,105,388,93,25,111,120,215,15.5,22.3,0.072,0.8
Matt Barnes,SF,29,ORL,2010,81,58,2097,207,31.900000000000002,350,58.599999999999994,146,74,106,339,134,59,30,112,185,13.6,16.2,0.135,2.5
Tony Battie,C,33,NJN,2010,15,0,134,4,25,36,36.1,10,70,4,19,3,4,2,3,19,6.1,16.2,-0.014,-0.2
Shane Battier,SG,31,HOU,2010,67,62,2168,279,36.199999999999996,168,45.800000000000004,106,72.6,74,238,164,53,76,64,139,11.1,11.4,0.095,2.2
Nicolas Batum,SF,21,POR,2010,37,25,918,132,40.9,136,62.5,51,84.3,32,109,44,24,25,27,83,17.3,16.4,0.181,1.3
Jerryd Bayless,SG,21,POR,2010,74,11,1304,92,31.5,391,43.7,242,83.1,18,102,172,26,5,94,152,14.3,24.9,0.098,-0.2
Michael Beasley,PF,21,MIA,2010,78,78,2328,102,27.500000000000004,938,46.9,240,80,123,375,100,80,49,131,221,16.1,25.8,0.095,0.2
Rodrigue Beaubois,PG,21,DAL,2010,56,16,700,110,40.9,189,58.199999999999996,52,80.80000000000001,12,66,74,29,12,54,84,18.5,24.7,0.134,0.6
Marco Belinelli,SG,23,TOR,2010,66,1,1121,158,38,221,42.5,121,83.5,14,81,89,42,5,60,80,12.6,20.1,0.049,-0.1
Charlie Bell,SG,30,MIL,2010,71,39,1611,200,36.5,243,39.5,67,71.6,31,101,104,39,12,54,136,7.9,14.8,0.06,0.1
Raja Bell,SG,33,CHA,2010,5,5,157,24,37.5,31,48.4,3,100,5,16,10,4,2,5,13,12.8,18.2,0.113,0.1
