latitude longitude arsenic censor depth_m year_made year_observed
22.8731 90.7844 13 0 10.7 1992 1998
23.0194 90.8786 256 0 12.2 1971 1998
22.965 90.9597 38 0 12.2 1995 1998
22.9253 90.9744 8 0 262.1 1997 1998
22.8653 90.9372 6 1 7.9 1993 1998
22.8525 90.9058 6 1 182.9 1990 1998
22.8567 90.8642 15 0 7.9 1991 1998
22.9322 90.7767 65 0 7.9 1994 1998
22.9347 90.8294 6 1 318 1992 1998
22.9414 90.8644 142 0 14 1991 1998
23.5331 89.79 41 0 26.2 1994 1998
23.5347 89.8675 162 0 32 1995 1998
23.5969 89.8769 57 0 20.1 1968 1998
23.6603 89.7639 245 0 28 1978 1998
23.5825 89.8403 6 1 137.2 1990 1998
23.5872 89.8133 6 1 213.4 1988 1998
23.6669 89.8369 6 1 21.9 1987 1998
23.5753 89.7178 132 0 18.3 1997 1998
23.6139 89.7936 10 0 15.8 1995 1998
23.5819 89.835 6 1 36.6 1994 1998
24.6017 88.2767 35 0 34 1990 1998
24.6403 88.3783 6 1 42.7 1995 1998
24.6372 88.2381 6 1 29 1990 1998
24.6883 88.2633 6 1 29 1987 1998
24.6525 88.3139 6 1 38.1 1993 1998
24.5736 88.2067 8 0 33.5 1988 1998
24.5228 88.2683 6 1 19.8 1998 1998
24.5022 88.1817 14 0 21.3 1994 1998
24.4844 88.245 6 1 21.3 1988 1998
24.6114 88.3478 6 1 41.1 1986 1998
23.642 90.609 324 0 41 1986 1998
23.723 90.522 6 1 59 1992 1998
23.84 90.634 6 1 36 1992 1998
23.688 90.522 6 1 66 1990 1998
23.667 90.48 6 1 31 1997 1998
23.812 90.217 6 1 58 1973 1998
23.617 90.499 9 0 62 1995 1998
23.615 90.51 6 1 61 1997 1998
23.902 89.986 6 1 15 1998 1998
23.847 89.829 41 0 52 1997 1998
23.968 89.83 46 0 82 1985 1998
23.771 89.915 60 0 31 1980 1998
23.856 89.939 89 0 44 1980 1998
23.99 90.044 20 0 24 1978 1998
23.919 90.214 6 1 65 1995 1998
23.835 90.261 6 1 115 1984 1998
23.696 90.347 6 1 43 1992 1998
23.616 90.125 184 0 60 1997 1998
23.651 90.132 133 0 20 1994 1998
22.966 89.479 6 1 262 1985 1998
22.737 89.519 6 1 187 1979 1998
22.576 89.325 130 0 49 1991 1998
22.811 89.038 109 0 34 1985 1998
22.932 89.668 114 0 26 1994 1998
22.576 89.499 12 0 41 -1 1998
22.8 89.645 89 0 131 1987 1998
22.837 89.55 6 1 312 1986 1998
22.887 89.535 6 1 282 1997 1998
22.871 89.508 73 0 60 1979 1998
22.819 89.421 6 1 59 1997 1998
22.778 89.706 121 0 39 1994 1998
22.52 89.021 100 0 20 1975 1998
22.639 89.041 176 0 39 1991 1998
22.824 89.748 124 0 34 1995 1998
22.546 89.652 505 0 26 1990 1998
23.373 89.371 78 0 115 1986 1998
22.86 89.04 147 0 39 1984 1998
22.343 89.112 6 1 13 1997 1998
22.75 89.259 106 0 22 1980 1998
22.538 89.24 155 0 56 1975 1998
22.763 89.855 217 0 45 1994 1998
22.565 89.845 92 0 20 1985 1998
22.311 89.846 6 1 10 1992 1998
22.642 89.814 301 0 20 1996 1998
23.402 89.602 61 0 98 1984 1998
23.17 89.042 111 0 45 1973 1998
23.042 89.391 136 0 50 1979 1998
23.27 89.246 9 0 51 1982 1998
23.419 88.821 30 0 94 1984 1998
23.399 88.977 45 0 44 1986 1998
23.734 89.208 6 1 47 1996 1998
23.611 89.021 71 0 39 1996 1998
23.863 89.244 6 1 40 1991 1998
22.722 89.847 59 0 18 1997 1998
22.55 89.59 6 1 18 1996 1998
23.121 89.649 152 0 50 1974 1998
23.589 89.397 6 1 50 1978 1998
24.009 88.876 6 1 100 1998 1998
23.769 89.256 6 1 39 1989 1998
24.018 89.007 6 1 39 1989 1998
23.07 89.559 6 1 63 1998 1998
23.12 88.974 54 0 22 1963 1998
22.906 89.216 166 0 49 1985 1998
23.603 88.774 50 0 40 1996 1998
23.678 88.869 41 0 39 1983 1998
23.781 88.734 33 0 39 1994 1998
23.404 89.221 55 0 49 1997 1998
23.181 89.543 198 0 54 1969 1998
23.26 89.024 49 0 118 1993 1998
22.963 89.23 168 0 67 1993 1998
23.222 89.408 152 0 50 1984 1998
23.76 88.942 35 0 82 1982 1998
23.352 88.918 74 0 123 1995 1998
23.659 88.62 72 0 39 1979 1998
23.476 89.146 6 1 47 1996 1998
23.93 89.083 6 1 37 1994 1998
22.35 90.579 6 1 283 1992 1998
22.97 90.159 6 1 237 1995 1998
22.414 90.566 6 1 322 1994 1998
22.358 90.342 6 1 17 1998 1998
22.041 89.972 11 0 12 1997 1998
22.626 90.061 6 1 256 1990 1998
22.359 90.216 6 1 299 1995 1998
21.951 90.183 6 1 299 1990 1998
21.982 90.088 6 1 306 1980 1998
22.416 90.166 6 1 289 1995 1998
23.076 90.436 248 0 35 1978 1998
22.257 90.416 6 1 300 1996 1998
22.172 90.092 6 1 302 1995 1998
22.308 90.096 6 1 285 1984 1998
22.488 90.067 6 1 22 1996 1998
22.516 89.996 6 1 15 1994 1998
22.568 90.148 17 0 12 1979 1998
22.647 90.231 16 0 15 1996 1998
22.639 90.18 7 0 306 1992 1998
22.402 90.127 6 1 13 1995 1998
23.138 90.444 77 0 63 1984 1998
23.229 90.533 30 0 27 1995 1998
23.2 90.469 49 0 33 1993 1998
23.301 90.409 275 0 39 1989 1998
