Easting Northing Density Moisture
1 1 1.545 0.3417
1 2 1.393 0.324
1 3 1.563 0.2763
1 4 1.564 0.2953
1 5 1.559 0.3167
1 6 1.587 0.3187
1 7 1.583 0.2774
1 8 1.617 0.2762
1 9 1.513 0.3499
1 10 1.466 0.2955
1 11 1.496 0.3362
1 12 1.413 0.3291
1 13 1.389 0.3337
1 14 1.472 0.2932
1 15 1.521 0.3404
1 16 1.484 0.3212
1 17 1.341 0.351
1 18 1.487 0.3281
1 19 1.434 0.3927
1 20 1.442 0.3188
1 21 1.497 0.3101
1 22 1.47 0.3225
1 23 1.487 0.3125
1 24 1.495 0.3348
1 25 1.423 0.3422
2 1 1.493 0.2959
2 2 1.437 0.3049
2 3 1.472 0.2977
2 4 1.549 0.3148
2 5 1.552 0.31
2 6 1.45 0.3351
2 7 1.537 0.2964
2 8 1.318 0.3769
2 9 1.559 0.3363
2 10 1.505 0.3061
2 11 1.556 0.2856
2 12 1.416 0.3383
2 13 1.49 0.3109
2 14 1.361 0.3502
2 15 1.548 0.2944
2 16 1.393 0.3308
2 17 1.363 0.3171
2 18 1.351 0.3624
2 19 1.396 0.3418
2 20 1.49 0.327
2 21 1.398 0.3097
2 22 1.479 0.3281
2 23 1.435 0.3419
2 24 1.514 0.3176
2 25 1.416 0.3564
3 1 1.537 0.3073
3 2 1.415 0.3612
3 3 1.483 0.3227
3 4 1.566 0.2718
3 5 1.386 0.3434
3 6 1.53 0.2928
3 7 1.468 0.2982
3 8 1.543 0.3237
3 9 1.532 0.3128
3 10 1.556 0.3044
3 11 1.46 0.3005
3 12 1.524 0.3304
3 13 1.516 0.3492
3 14 1.538 0.2932
3 15 1.547 0.311
3 16 1.458 0.3389
3 17 1.631 0.2798
3 18 1.437 0.3613
3 19 1.442 0.3294
3 20 1.384 0.3135
3 21 1.476 0.3054
3 22 1.509 0.3149
3 23 1.586 0.3194
3 24 1.531 0.3326
3 25 1.334 0.5533
4 1 1.444 0.3213
4 2 1.466 0.3136
4 3 1.464 0.2793
4 4 1.465 0.2935
4 5 1.502 0.3255
4 6 1.434 0.3282
4 7 1.499 0.3146
4 8 1.548 0.2779
4 9 1.607 0.3132
4 10 1.53 0.3439
4 11 1.538 0.3405
4 12 1.444 0.3265
4 13 1.45 0.325
4 14 1.392 0.3166
4 15 1.343 0.3259
4 16 1.534 0.3023
4 17 1.503 0.2936
4 18 1.459 0.3091
4 19 1.351 0.3071
4 20 1.462 0.31
4 21 1.569 0.2996
4 22 1.494 0.2801
4 23 1.301 0.3633
4 24 1.486 0.3406
4 25 1.527 0.3191
5 1 1.449 0.3702
5 2 1.541 0.3394
5 3 1.275 0.3245
5 4 1.494 0.3089
5 5 1.509 0.2999
5 6 1.534 0.3029
5 7 1.595 0.2944
5 8 1.584 0.3121
5 9 1.56 0.2964
5 10 1.519 0.3121
5 11 1.535 0.3024
5 12 1.425 0.3136
5 13 1.69 0.2792
5 14 1.568 0.2808
5 15 1.498 0.2714
5 16 1.464 0.29
5 17 1.482 0.3253
5 18 1.541 0.2929
5 19 1.668 0.2912
5 20 1.494 0.3504
5 21 1.519 0.2935
5 22 1.337 0.3509
5 23 1.484 0.3214
5 24 1.6 0.2997
5 25 1.497 0.2881
6 1 1.554 0.2883
6 2 1.487 0.3168
6 3 1.384 0.3469
6 4 1.384 0.3645
6 5 1.366 0.3165
6 6 1.434 0.3053
6 7 1.322 0.3683
6 8 1.56 0.2899
6 9 1.455 0.3372
6 10 1.54 0.2954
6 11 1.605 0.2897
6 12 1.336 0.2996
6 13 1.486 0.3321
6 14 1.479 0.3081
6 15 1.449 0.2905
6 16 1.581 0.3361
6 17 1.532 0.2891
6 18 1.505 0.2957
6 19 1.523 0.3044
6 20 1.593 0.3232
6 21 1.548 0.291
6 22 1.508 0.2864
6 23 1.516 0.301
6 24 1.631 0.2843
6 25 1.518 0.2836
7 1 1.475 0.3316
7 2 1.344 0.3455
7 3 1.392 0.3286
7 4 1.521 0.3446
7 5 1.539 0.2945
7 6 1.544 0.248
7 7 1.531 0.3311
7 8 1.564 0.3141
7 9 1.492 0.3025
7 10 1.418 0.3356
7 11 1.465 0.3062
7 12 1.474 0.3281
7 13 1.598 0.304
7 14 1.531 0.3203
7 15 1.496 0.2794
7 16 1.322 0.3221
7 17 1.449 0.3001
7 18 1.486 0.2965
7 19 1.475 0.3031
7 20 1.549 0.2993
7 21 1.433 0.3465
7 22 1.354 0.2934
7 23 1.498 0.3293
7 24 1.449 0.3225
7 25 1.442 0.2481
8 1 1.673 0.2778
8 2 1.506 0.3145
8 3 1.466 0.3271
8 4 1.738 0.2472
8 5 1.588 0.2524
8 6 1.53 0.2637
8 7 1.401 0.3139
8 8 1.48 0.3183
8 9 1.445 0.3404
8 10 1.539 0.3439
8 11 1.277 0.3242
8 12 1.398 0.3559
8 13 1.472 0.3261
8 14 1.453 0.3168
8 15 1.423 0.3662
8 16 1.396 0.3266
8 17 1.528 0.3389
8 18 1.445 0.3047
8 19 1.361 0.3389
8 20 1.46 0.3327
8 21 1.453 0.3165
8 22 1.352 0.3674
8 23 1.466 0.3523
8 24 1.397 0.3404
8 25 1.407 0.3676
9 1 1.57 0.2827
9 2 1.699 0.2302
9 3 1.776 0.2562
9 4 1.713 0.245
9 5 1.704 0.2443
9 6 1.392 0.3132
9 7 1.535 0.3055
9 8 1.449 0.3191
9 9 1.335 0.2951
9 10 1.424 0.3025
9 11 1.495 0.3347
