x	y	lead	zinc
181072	333611	299	1022
181025	333558	277	1141
181165	333537	199	640
181298	333484	116	257
181307	333330	117	269
181390	333260	137	281
181165	333370	132	346
181027	333363	150	406
181060	333231	133	347
181232	333168	80	183
181191	333115	86	189
181032	333031	97	251
180874	333339	285	1096
180969	333252	183	504
181011	333161	130	326
180830	333246	240	1032
180763	333104	133	606
180694	332972	148	711
180625	332847	207	735
180555	332707	284	1052
180642	332708	194	673
180704	332717	123	402
180704	332664	110	343
181153	332925	85	218
181147	332823	75	200
181167	332778	76	194
181008	332777	73	207
180973	332687	67	180
180916	332753	87	240
181352	332946	65	180
181133	332570	78	208
180878	332489	64	198
180829	332450	77	250
180954	332399	80	192
180956	332318	82	213
180710	332330	97	321
180632	332445	166	569
180530	332538	217	833
180478	332578	219	906
180383	332476	405	1454
180494	332330	102	298
180561	332193	48	167
180451	332175	65	176
180410	332031	62	258
180355	332299	281	746
180292	332157	294	746
180283	332014	211	464
180282	331861	135	365
180270	331707	112	282
180199	331591	162	375
180135	331552	94	222
180237	332351	191	812
180103	332297	405	1548
179973	332255	654	1839
179826	332217	482	1528
179687	332161	276	933
179792	332035	180	432
179902	332113	207	550
180100	332213	541	1571
179604	332059	310	1190
179526	331936	210	907
179495	331770	158	761
179489	331633	141	659
179414	331494	144	643
179334	331366	181	801
179255	331264	173	784
179470	331125	399	1060
179692	330933	45	119
179852	330801	325	778
179140	330955	268	703
179128	330867	252	676
179065	330864	315	793
179007	330727	260	685
179110	330758	237	593
179032	330645	228	549
179095	330636	241	680
179058	330510	201	539
178810	330666	204	560
178912	330779	429	1136
178981	330924	462	1383
179076	331005	333	1161
180151	330353	464	1672
179211	331175	159	765
181118	333214	116	279
179474	331304	81	241
179559	331423	131	317
179022	330873	216	545
178953	330742	145	505
178875	330516	163	420
178803	330349	129	332
179029	330394	148	400
178605	330406	214	553
178701	330557	226	577
179547	330245	54	155
179301	330179	70	224
179405	330567	73	180
179462	330766	87	226
179293	330797	76	186
179180	330710	81	198
179206	330398	68	187
179618	330458	66	199
179782	330540	49	157
179980	330773	63	203
180067	331185	48	143
180162	331387	51	136
180451	331473	50	117
180328	331158	39	113
180276	330963	48	130
180114	330803	64	192
179881	330912	84	240
179774	330921	67	221
179657	331150	49	140
179731	331245	48	128
179717	331441	56	166
179446	331422	65	191
179524	331565	84	232
179644	331730	75	203
180321	330366	250	722
180162	331837	81	210
180029	331720	72	198
179797	331919	86	139
179642	331955	94	253
179849	332142	244	703
180265	332297	297	832
180107	332101	96	262
180462	331947	56	142
180478	331822	49	119
180347	331700	50	152
180862	333116	148	415
180700	332882	162	474
180201	331160	37	126
180173	331923	80	210
180923	332874	80	220
180467	331694	49	133
179917	331325	42	141
179822	331242	48	158
179991	331069	41	129
179120	330578	73	206
179034	330561	146	451
179085	330433	95	296
179236	330046	72	189
179456	330072	51	154
179550	329940	54	169
179445	329807	136	403
179337	329870	170	471
179245	329714	179	612
179024	329733	200	601
178786	329822	258	783
179135	329890	93	258
179030	330082	68	214
179184	330182	49	166
179085	330292	173	496
178875	330311	119	342
179466	330381	51	162
180627	330190	124	375
