ring,x97,x98,x99,x00,x01,x02,x03,x04,sex,bm,hb,cond,hcb,oxy,dde,p99,p118,p138,p153,p170,p180,pc1
15783,1,0,1,0,0,1,0,0,1,1870,145.2,0.04306,51.61,85.6,227.77,99.14,167.73,376.21,607.96,68.13,216.55,-5.414
15927,1,1,1,1,0,1,0,0,2,1470,130.5,0.02234,12.35,13.19,52.47,30.21,45.76,98.44,147.02,20.2,61,-0.785
353043,1,1,0,0,0,1,0,0,2,1320,133.1,-0.1092,9.57,12,52.61,13.56,19.96,41.91,68.28,11.8,37.58,0.943
353355,1,1,0,0,0,0,0,0,2,1440,133.2,-0.0231,28.13,44.31,105.03,32.19,57.63,106.32,146.75,29.46,89.71,-2.198
366501,1,1,0,0,0,0,0,0,1,1910,146.8,0.0563,35.47,68.49,285,55.23,114.77,270.22,605.18,80.05,231.26,-4.845
366503,1,0,0,0,0,0,0,0,2,1320,131.8,-0.09731,38.05,128.78,337,97.4,191.51,425.35,1113.27,123.03,434.96,-6.341
366551,1,1,1,1,1,0,0,0,1,1930,150.5,0.04873,4.49,3.82,36.06,7.71,14.31,24.35,37.82,7.56,12.69,3.066
366554,1,1,1,1,0,1,1,0,1,NA,147.5,0,3.24,6.86,25.11,7.73,13.94,24.02,42.33,6.65,20.84,2.989
366737,1,1,1,1,1,1,0,0,2,1415,133.5,-0.04334,8.28,8.09,52.74,15.46,27.21,47.14,63.59,10.92,31.49,1.018
366748,1,1,0,0,0,0,1,0,2,1520,135.2,0.0129,12.53,15.28,66.23,17.46,27.14,52.59,70.27,13.34,39.07,0.286
366893,1,1,0,0,0,0,0,0,1,1760,143.9,-0.01107,4,8.76,42.32,11.1,14.27,32.94,43.23,8.17,22.38,2.229
366900,1,1,1,1,0,0,0,0,1,1900,148.9,0.04078,9.01,11.78,61.01,16.22,30.26,56.93,93.03,17.63,55.23,0.179
366901,1,1,1,1,0,0,0,0,1,1700,148.7,-0.06947,11.87,12.24,58.37,13.5,19.21,40.86,59.25,9.32,29.99,1.047
366976,1,1,1,1,1,1,0,0,1,1810,150.8,-0.01691,29.58,17.88,96.79,20.15,37.71,74.83,102.99,16.23,48.98,-0.839
366978,1,1,0,1,0,0,0,0,1,1675,146.5,-0.07351,26.7,18.35,103.24,24.43,46.25,85.49,131.27,18.57,55.24,-1.22
366980,1,1,0,0,0,0,0,0,1,1940,154.7,0.034,6.74,6.61,35.9,8.36,14.62,27.31,38.84,6.17,18.16,2.586
366987,1,1,0,0,0,0,0,0,2,1300,133.6,-0.12901,21.87,14.97,101.29,22.01,46.22,99.6,151.43,33.82,103.82,-1.552
372441,1,1,0,0,0,0,0,0,2,1610,139.2,0.03509,22.95,30.19,71.69,41.61,63.07,143.54,231.55,37.5,114.4,-2.414
372442,1,1,0,1,1,1,1,1,2,1390,132.9,-0.05571,4.39,8.16,26.13,8.64,14.11,31.2,41.57,7.95,25.22,2.53
372443,1,1,0,0,0,0,0,0,2,1590,139.4,0.02085,6.63,4.17,33.97,6.54,11.28,21.07,30.11,5.65,17.75,3.203
372444,1,1,1,0,0,0,0,0,1,1840,146.6,0.01995,13.41,24.68,98.88,21.14,45.64,71.08,135.51,25.05,87.01,-1.182
372445,1,1,1,1,1,1,0,0,2,1490,134,0.00378,11.58,18.87,90.35,16.6,33.28,57.76,101.11,21.16,73.5,-0.477
372446,1,1,1,1,1,1,0,0,2,1590,134.1,0.06783,21.88,22.97,54.6,32.65,54.58,124.61,202.09,34.2,106.76,-1.876
372447,1,1,1,1,1,1,0,1,1,1720,148.5,-0.0568,9.19,12.03,49.13,12.82,22.95,43.91,70.61,12.93,42.02,0.855
372448,1,1,1,1,1,1,0,0,1,1890,145.6,0.05171,23.79,27.69,110.66,31.72,46.72,108.64,175.56,30.72,92.49,-2
372449,1,1,1,1,1,1,0,0,2,1440,134.2,-0.03216,9.04,12.02,42.65,11.51,16.6,36.15,51.84,9.74,29.87,1.485
372450,1,1,1,1,1,1,1,1,2,1490,130.1,0.03957,11.23,13,55.35,13.36,26.46,49.13,77.86,13.89,43.57,0.518
380117,1,1,0,0,0,0,0,0,1,1860,148.2,0.02291,75.33,62.31,203.57,56.29,184.05,456.9,719.01,81.38,261.38,-5.452
380387,1,1,1,0,0,1,0,0,2,1530,138.6,-0.01064,6.63,4.17,33.97,6.54,11.28,21.07,30.11,5.65,17.75,3.203
380388,1,1,1,1,1,0,0,0,1,1840,147.1,0.01749,14.45,18.43,74.87,15.32,29.64,65.33,109.13,19.5,65.79,-0.4
380389,1,1,1,1,1,1,1,1,1,1690,150,-0.08166,13.57,17.45,76.57,22.96,43.87,73.7,107.45,17.36,51.8,-0.614
380390,1,1,1,1,1,1,0,0,2,1440,136.7,-0.05453,12.19,26.72,92.45,24.52,49.35,86.18,154.61,29.47,98.12,-1.455
